instance,expression,feasible,objective,cost,distance,late_penalty,spoil_penalty,late_customers,spoil_customers,num_routes,runtime_sec,round_idx,known_opt_cost,set_id,dimension,gap,gap_pct
B-n56-k7,20 * est_spoil + travel_to_c + 2 * est_lateness,True,30029.2,30029.2,1387.0,0.0,28642.2,0,10,7,0.014957666397094727,0,,,,,
P-n55-k7,20 * est_spoil + travel_to_c + 2 * est_lateness,True,51269.0,51269.0,860.0,0.0,50409.0,0,6,7,0.015445232391357422,0,,,,,
P-n65-k10,20 * est_spoil + travel_to_c + 2 * est_lateness,True,24695.0,24695.0,1089.0,0.0,23606.0,0,6,10,0.017679691314697266,0,,,,,
B-n63-k10,20 * est_spoil + travel_to_c + 2 * est_lateness,True,16361.4,16361.4,2135.0,0.0,14226.4,0,8,10,0.0165102481842041,0,,,,,
E-n101-k14,20 * est_spoil + travel_to_c + 2 * est_lateness,True,67647.0,67647.0,1725.0,0.0,65922.0,0,12,14,0.04366946220397949,0,,,,,
E-n101-k8,20 * est_spoil + travel_to_c + 2 * est_lateness,True,123748.8,123748.8,1439.0,3685.6,118624.2,7,23,8,0.04536175727844238,0,,,,,
F-n135-k7,20 * est_spoil + travel_to_c + 2 * est_lateness,True,11291997.6,11291997.6,2328.0,1043225.6,10246444.0,63,97,7,0.08020925521850586,0,,,,,
M-n101-k10,20 * est_spoil + travel_to_c + 2 * est_lateness,True,118430.0,118430.0,1474.0,0.0,116956.0,0,16,10,0.04787850379943848,0,,,,,
M-n121-k7,20 * est_spoil + travel_to_c + 2 * est_lateness,True,144586.0,144586.0,1784.0,632.8,142169.2,4,37,7,0.06660985946655273,0,,,,,
M-n151-k12,20 * est_spoil + travel_to_c + 2 * est_lateness,True,108531.2,108531.2,1880.0,0.0,106651.2,0,26,12,0.09645390510559082,0,,,,,
M-n200-k16,20 * est_spoil + travel_to_c + 2 * est_lateness,True,168713.0,168713.0,2228.0,0.0,166485.0,0,32,17,0.1736447811126709,0,,,,,
M-n200-k17,20 * est_spoil + travel_to_c + 2 * est_lateness,True,167401.4,167401.4,2189.0,0.0,165212.4,0,35,17,0.17483901977539062,0,,,,,
P-n101-k4,20 * est_spoil + travel_to_c + 2 * est_lateness,True,383984.2,383984.2,1119.0,50575.99999999999,332289.2,30,60,4,0.048111677169799805,0,,,,,
P-n23-k8,20 * est_spoil + travel_to_c + 2 * est_lateness - 0.5 * instance['demands'][c],True,686.0,686.0,686.0,0.0,0.0,0,0,9,0.003037691116333008,0,,,,,
A-n38-k5,20 * est_spoil + travel_to_c + 2 * est_lateness - 0.5 * instance['demands'][c],True,26889.4,26889.4,1344.0,0.0,25545.4,0,7,6,0.008655309677124023,0,,,,,
A-n33-k5,20 * est_spoil + travel_to_c + 2 * est_lateness - 0.5 * instance['demands'][c],True,19200.0,19200.0,1107.0,0.0,18093.0,0,5,5,0.006493806838989258,0,,,,,
B-n35-k5,20 * est_spoil + travel_to_c + 2 * est_lateness - 0.5 * instance['demands'][c],True,35177.200000000004,35177.200000000004,1216.0,582.4,33378.8,1,11,5,0.0072824954986572266,0,,,,,
B-n31-k5,20 * est_spoil + travel_to_c + 2 * est_lateness - 0.5 * instance['demands'][c],True,5368.0,5368.0,808.0,0.0,4560.0,0,2,5,0.005643606185913086,0,,,,,
A-n48-k7,20 * est_spoil + travel_to_c + 2 * est_lateness - 0.5 * instance['demands'][c],True,12438.0,12438.0,1678.0,0.0,10760.0,0,6,7,0.013911247253417969,0,,,,,
A-n39-k5,20 * est_spoil + travel_to_c + 2 * est_lateness - 0.5 * instance['demands'][c],True,52889.0,52889.0,1258.0,538.4,51092.6,4,13,5,0.008277416229248047,0,,,,,
A-n37-k6,20 * est_spoil + travel_to_c + 2 * est_lateness - 0.5 * instance['demands'][c],True,27803.0,27803.0,1445.0,0.0,26358.0,0,5,6,0.007962226867675781,0,,,,,
P-n16-k8,20 * est_spoil + travel_to_c + 2 * est_lateness - 0.5 * instance['demands'][c],True,497.0,497.0,497.0,0.0,0.0,0,0,8,0.0018584728240966797,0,,,,,
A-n37-k5,20 * est_spoil + travel_to_c + 2 * est_lateness - 0.5 * instance['demands'][c],True,25851.6,25851.6,1176.0,208.8,24466.8,1,7,5,0.006997823715209961,0,,,,,
P-n70-k10,20 * est_spoil + travel_to_c + 2 * est_lateness - 0.5 * instance['demands'][c],True,46267.0,46267.0,1396.0,0.0,44871.0,0,7,11,0.029972553253173828,0,,,,,
E-n76-k8,20 * est_spoil + travel_to_c + 2 * est_lateness - 0.5 * instance['demands'][c],True,79649.20000000001,79649.20000000001,1245.0,697.6,77706.6,2,15,8,0.0373075008392334,0,,,,,
A-n55-k9,20 * est_spoil + travel_to_c + 2 * est_lateness - 0.5 * instance['demands'][c],True,58043.8,58043.8,1612.0,76.8,56355.0,1,8,9,0.01670241355895996,0,,,,,
A-n54-k7,20 * est_spoil + travel_to_c + 2 * est_lateness - 0.5 * instance['demands'][c],True,39580.6,39580.6,1708.0,14.4,37858.2,1,11,7,0.018499135971069336,0,,,,,
A-n62-k8,20 * est_spoil + travel_to_c + 2 * est_lateness - 0.5 * instance['demands'][c],True,25273.0,25273.0,1809.0,0.0,23464.0,0,10,8,0.02093958854675293,0,,,,,
B-n52-k7,20 * est_spoil + travel_to_c + 2 * est_lateness - 0.5 * instance['demands'][c],True,26437.8,26437.8,1402.0,0.0,25035.8,0,6,7,0.015608787536621094,0,,,,,
B-n56-k7,20 * est_spoil + travel_to_c + 2 * est_lateness - 0.5 * instance['demands'][c],True,28607.0,28607.0,1180.0,0.0,27427.0,0,6,7,0.017194032669067383,0,,,,,
P-n55-k7,20 * est_spoil + travel_to_c + 2 * est_lateness - 0.5 * instance['demands'][c],True,33652.6,33652.6,873.0,0.0,32779.6,0,9,7,0.019141197204589844,0,,,,,
P-n65-k10,20 * est_spoil + travel_to_c + 2 * est_lateness - 0.5 * instance['demands'][c],True,29125.0,29125.0,1240.0,0.0,27885.0,0,4,10,0.025948047637939453,0,,,,,
B-n63-k10,20 * est_spoil + travel_to_c + 2 * est_lateness - 0.5 * instance['demands'][c],True,18333.0,18333.0,2137.0,0.0,16196.0,0,5,10,0.021421194076538086,0,,,,,
E-n101-k14,20 * est_spoil + travel_to_c + 2 * est_lateness - 0.5 * instance['demands'][c],True,54178.0,54178.0,1726.0,0.0,52452.0,0,6,14,0.05634808540344238,0,,,,,
E-n101-k8,20 * est_spoil + travel_to_c + 2 * est_lateness - 0.5 * instance['demands'][c],True,116909.40000000001,116909.40000000001,1517.0,385.6,115006.8,2,24,8,0.06180238723754883,0,,,,,
F-n135-k7,20 * est_spoil + travel_to_c + 2 * est_lateness - 0.5 * instance['demands'][c],True,10173173.6,10173173.6,2323.0,983322.3999999998,9187528.2,96,125,7,0.1125645637512207,0,,,,,
M-n101-k10,20 * est_spoil + travel_to_c + 2 * est_lateness - 0.5 * instance['demands'][c],True,108251.0,108251.0,1605.0,0.0,106646.0,0,13,10,0.06743860244750977,0,,,,,
M-n121-k7,20 * est_spoil + travel_to_c + 2 * est_lateness - 0.5 * instance['demands'][c],True,160618.0,160618.0,2055.0,0.0,158563.0,0,45,7,0.09436488151550293,0,,,,,
M-n151-k12,20 * est_spoil + travel_to_c + 2 * est_lateness - 0.5 * instance['demands'][c],True,142911.4,142911.4,2077.0,162.4,140672.0,2,28,12,0.13153767585754395,0,,,,,
M-n200-k16,20 * est_spoil + travel_to_c + 2 * est_lateness - 0.5 * instance['demands'][c],True,150443.6,150443.6,2300.0,1615.1999999999998,146528.4,4,30,17,0.24379491806030273,0,,,,,
M-n200-k17,20 * est_spoil + travel_to_c + 2 * est_lateness - 0.5 * instance['demands'][c],True,172472.80000000002,172472.80000000002,2430.0,1835.2,168207.6,2,31,17,0.24139714241027832,0,,,,,
P-n101-k4,20 * est_spoil + travel_to_c + 2 * est_lateness - 0.5 * instance['demands'][c],True,392952.8,392952.8,1338.0,31583.2,360031.6,24,59,4,0.06942629814147949,0,,,,,
P-n23-k8,travel_to_c,True,4775.0,4775.0,746.0,0.0,4029.0,0,1,9,0.0011334419250488281,1,,,,,
A-n38-k5,travel_to_c,True,21414.0,21414.0,1084.0,0.0,20330.0,0,9,5,0.004096269607543945,1,,,,,
A-n33-k5,travel_to_c,True,18428.0,18428.0,977.0,0.0,17451.0,0,5,5,0.0036611557006835938,1,,,,,
