instance,expression,cost,runtime_sec,feasible,num_routes,round_idx,known_opt_cost,set_id,dimension,gap,gap_pct
A-n39-k5,0.3 * dist_matrix[c][instance['depot']] + dist_matrix[current][c] - 0.5 * instance['demands'][c],1109.0,0.010419130325317383,True,5,1,822.0,A,39,287.0,34.914841849148424
A-n37-k6,0.3 * dist_matrix[c][instance['depot']] + dist_matrix[current][c] - 0.5 * instance['demands'][c],1279.0,0.008427858352661133,True,6,1,949.0,A,37,330.0,34.77344573234984
P-n16-k8,0.3 * dist_matrix[c][instance['depot']] + dist_matrix[current][c] - 0.5 * instance['demands'][c],497.0,0.0013098716735839844,True,8,1,450.0,P,16,47.0,10.444444444444445
A-n37-k5,0.3 * dist_matrix[c][instance['depot']] + dist_matrix[current][c] - 0.5 * instance['demands'][c],1046.0,0.008435964584350586,True,5,1,669.0,A,37,377.0,56.35276532137519
P-n70-k10,0.3 * dist_matrix[c][instance['depot']] + dist_matrix[current][c] - 0.5 * instance['demands'][c],1128.0,0.03520393371582031,True,10,1,827.0,P,70,301.0,36.396614268440146
E-n76-k8,0.3 * dist_matrix[c][instance['depot']] + dist_matrix[current][c] - 0.5 * instance['demands'][c],1200.0,0.03775286674499512,True,8,1,735.0,E,76,465.0,63.26530612244898
A-n55-k9,0.3 * dist_matrix[c][instance['depot']] + dist_matrix[current][c] - 0.5 * instance['demands'][c],1443.0,0.01858067512512207,True,9,1,1073.0,A,55,370.0,34.48275862068966
A-n54-k7,0.3 * dist_matrix[c][instance['depot']] + dist_matrix[current][c] - 0.5 * instance['demands'][c],1462.0,0.019022703170776367,True,7,1,1167.0,A,54,295.0,25.278491859468723
A-n62-k8,0.3 * dist_matrix[c][instance['depot']] + dist_matrix[current][c] - 0.5 * instance['demands'][c],1860.0,0.025242328643798828,True,8,1,1288.0,A,62,572.0,44.409937888198755
B-n52-k7,0.3 * dist_matrix[c][instance['depot']] + dist_matrix[current][c] - 0.5 * instance['demands'][c],1079.0,0.02106165885925293,True,7,1,747.0,B,52,332.0,44.44444444444444
B-n56-k7,0.3 * dist_matrix[c][instance['depot']] + dist_matrix[current][c] - 0.5 * instance['demands'][c],1190.0,0.022405624389648438,True,7,1,707.0,B,56,483.0,68.31683168316832
P-n55-k7,0.3 * dist_matrix[c][instance['depot']] + dist_matrix[current][c] - 0.5 * instance['demands'][c],839.0,0.023316621780395508,True,7,1,568.0,P,55,271.0,47.7112676056338
P-n65-k10,0.3 * dist_matrix[c][instance['depot']] + dist_matrix[current][c] - 0.5 * instance['demands'][c],1102.0,0.030614614486694336,True,10,1,792.0,P,65,310.0,39.141414141414145
B-n63-k10,0.3 * dist_matrix[c][instance['depot']] + dist_matrix[current][c] - 0.5 * instance['demands'][c],1931.0,0.030215978622436523,True,10,1,1496.0,B,63,435.0,29.077540106951872
E-n101-k14,0.3 * dist_matrix[c][instance['depot']] + dist_matrix[current][c] - 0.5 * instance['demands'][c],1563.0,0.07006454467773438,True,14,1,1067.0,E,101,496.0,46.485473289597
E-n101-k8,0.3 * dist_matrix[c][instance['depot']] + dist_matrix[current][c] - 0.5 * instance['demands'][c],1329.0,0.07266378402709961,True,8,1,815.0,E,101,514.0,63.06748466257669
F-n135-k7,0.3 * dist_matrix[c][instance['depot']] + dist_matrix[current][c] - 0.5 * instance['demands'][c],2514.0,0.13576030731201172,True,7,1,1162.0,F,135,1352.0,116.35111876075732
M-n101-k10,0.3 * dist_matrix[c][instance['depot']] + dist_matrix[current][c] - 0.5 * instance['demands'][c],1213.0,0.07868051528930664,True,10,1,820.0,M,101,393.0,47.92682926829268
M-n121-k7,0.3 * dist_matrix[c][instance['depot']] + dist_matrix[current][c] - 0.5 * instance['demands'][c],1443.0,0.11221742630004883,True,7,1,1034.0,M,121,409.0,39.55512572533849
M-n151-k12,0.3 * dist_matrix[c][instance['depot']] + dist_matrix[current][c] - 0.5 * instance['demands'][c],1619.0,0.1642472743988037,True,12,1,1015.0,M,151,604.0,59.50738916256157
M-n200-k16,0.3 * dist_matrix[c][instance['depot']] + dist_matrix[current][c] - 0.5 * instance['demands'][c],2091.0,0.2933831214904785,True,16,1,1274.0,M,200,817.0,64.1287284144427
M-n200-k17,0.3 * dist_matrix[c][instance['depot']] + dist_matrix[current][c] - 0.5 * instance['demands'][c],2091.0,0.29665231704711914,True,16,1,1275.0,M,200,816.0,64.0
P-n101-k4,0.3 * dist_matrix[c][instance['depot']] + dist_matrix[current][c] - 0.5 * instance['demands'][c],1052.0,0.07729411125183105,True,4,1,681.0,P,101,371.0,54.478707782672544
P-n23-k8,dist_matrix[current][c] - 0.5 * instance['demands'][c],679.0,0.002178192138671875,True,9,1,529.0,P,23,150.0,28.35538752362949
A-n38-k5,dist_matrix[current][c] - 0.5 * instance['demands'][c],993.0,0.007165431976318359,True,5,1,730.0,A,38,263.0,36.02739726027397
A-n33-k5,dist_matrix[current][c] - 0.5 * instance['demands'][c],1110.0,0.004619598388671875,True,5,1,661.0,A,33,449.0,67.92738275340393
B-n35-k5,dist_matrix[current][c] - 0.5 * instance['demands'][c],1086.0,0.006232261657714844,True,5,1,955.0,B,35,131.0,13.717277486910994
B-n31-k5,dist_matrix[current][c] - 0.5 * instance['demands'][c],996.0,0.006189823150634766,True,5,1,672.0,B,31,324.0,48.214285714285715
A-n48-k7,dist_matrix[current][c] - 0.5 * instance['demands'][c],1383.0,0.010747194290161133,True,7,1,1073.0,A,48,310.0,28.890959925442683
A-n39-k5,dist_matrix[current][c] - 0.5 * instance['demands'][c],1173.0,0.007911205291748047,True,5,1,822.0,A,39,351.0,42.700729927007295
A-n37-k6,dist_matrix[current][c] - 0.5 * instance['demands'][c],1443.0,0.006440877914428711,True,6,1,949.0,A,37,494.0,52.054794520547944
P-n16-k8,dist_matrix[current][c] - 0.5 * instance['demands'][c],497.0,0.001027822494506836,True,8,1,450.0,P,16,47.0,10.444444444444445
A-n37-k5,dist_matrix[current][c] - 0.5 * instance['demands'][c],1019.0,0.005357027053833008,True,5,1,669.0,A,37,350.0,52.3168908819133
P-n70-k10,dist_matrix[current][c] - 0.5 * instance['demands'][c],1202.0,0.024015188217163086,True,10,1,827.0,P,70,375.0,45.34461910519952
E-n76-k8,dist_matrix[current][c] - 0.5 * instance['demands'][c],1102.0,0.029393672943115234,True,8,1,735.0,E,76,367.0,49.93197278911565
A-n55-k9,dist_matrix[current][c] - 0.5 * instance['demands'][c],1477.0,0.014055252075195312,True,9,1,1073.0,A,55,404.0,37.65144454799627
A-n54-k7,dist_matrix[current][c] - 0.5 * instance['demands'][c],1405.0,0.014729499816894531,True,7,1,1167.0,A,54,238.0,20.394173093401886
A-n62-k8,dist_matrix[current][c] - 0.5 * instance['demands'][c],1857.0,0.018242597579956055,True,8,1,1288.0,A,62,569.0,44.17701863354037
B-n52-k7,dist_matrix[current][c] - 0.5 * instance['demands'][c],1102.0,0.0148162841796875,True,7,1,747.0,B,52,355.0,47.52342704149933
B-n56-k7,dist_matrix[current][c] - 0.5 * instance['demands'][c],1086.0,0.016640424728393555,True,7,1,707.0,B,56,379.0,53.6067892503536
P-n55-k7,dist_matrix[current][c] - 0.5 * instance['demands'][c],789.0,0.01564955711364746,True,7,1,568.0,P,55,221.0,38.90845070422535
P-n65-k10,dist_matrix[current][c] - 0.5 * instance['demands'][c],1111.0,0.021466970443725586,True,10,1,792.0,P,65,319.0,40.27777777777778
B-n63-k10,dist_matrix[current][c] - 0.5 * instance['demands'][c],1950.0,0.01766490936279297,True,10,1,1496.0,B,63,454.0,30.3475935828877
E-n101-k14,dist_matrix[current][c] - 0.5 * instance['demands'][c],1520.0,0.04857635498046875,True,14,1,1067.0,E,101,453.0,42.45548266166823
E-n101-k8,dist_matrix[current][c] - 0.5 * instance['demands'][c],1280.0,0.05457901954650879,True,8,1,815.0,E,101,465.0,57.05521472392638
F-n135-k7,dist_matrix[current][c] - 0.5 * instance['demands'][c],2515.0,0.10311245918273926,True,7,1,1162.0,F,135,1353.0,116.43717728055078
M-n101-k10,dist_matrix[current][c] - 0.5 * instance['demands'][c],1326.0,0.05903887748718262,True,10,1,820.0,M,101,506.0,61.70731707317073
M-n121-k7,dist_matrix[current][c] - 0.5 * instance['demands'][c],1499.0,0.08220505714416504,True,7,1,1034.0,M,121,465.0,44.97098646034816
M-n151-k12,dist_matrix[current][c] - 0.5 * instance['demands'][c],1607.0,0.12416768074035645,True,12,1,1015.0,M,151,592.0,58.32512315270936
M-n200-k16,dist_matrix[current][c] - 0.5 * instance['demands'][c],1953.0,0.2136390209197998,True,16,1,1274.0,M,200,679.0,53.2967032967033
M-n200-k17,dist_matrix[current][c] - 0.5 * instance['demands'][c],1953.0,0.22240519523620605,True,16,1,1275.0,M,200,678.0,53.17647058823529
P-n101-k4,dist_matrix[current][c] - 0.5 * instance['demands'][c],1040.0,0.06180286407470703,True,4,1,681.0,P,101,359.0,52.71659324522761
P-n23-k8,0.2 * dist_matrix[c][instance['depot']] + (dist_matrix[current][c] - 2 * instance['demands'][c]),649.0,0.0033757686614990234,True,9,1,529.0,P,23,120.0,22.68431001890359
A-n38-k5,0.2 * dist_matrix[c][instance['depot']] + (dist_matrix[current][c] - 2 * instance['demands'][c]),1081.0,0.010692358016967773,True,5,1,730.0,A,38,351.0,48.08219178082192
A-n33-k5,0.2 * dist_matrix[c][instance['depot']] + (dist_matrix[current][c] - 2 * instance['demands'][c]),938.0,0.008691072463989258,True,5,1,661.0,A,33,277.0,41.90620272314675
B-n35-k5,0.2 * dist_matrix[c][instance['depot']] + (dist_matrix[current][c] - 2 * instance['demands'][c]),1155.0,0.008348703384399414,True,5,1,955.0,B,35,200.0,20.94240837696335
B-n31-k5,0.2 * dist_matrix[c][instance['depot']] + (dist_matrix[current][c] - 2 * instance['demands'][c]),927.0,0.007381916046142578,True,5,1,672.0,B,31,255.0,37.94642857142857
A-n48-k7,0.2 * dist_matrix[c][instance['depot']] + (dist_matrix[current][c] - 2 * instance['demands'][c]),1427.0,0.01761150360107422,True,7,1,1073.0,A,48,354.0,32.99161230195713
A-n39-k5,0.2 * dist_matrix[c][instance['depot']] + (dist_matrix[current][c] - 2 * instance['demands'][c]),1250.0,0.011361837387084961,True,5,1,822.0,A,39,428.0,52.06812652068127
A-n37-k6,0.2 * dist_matrix[c][instance['depot']] + (dist_matrix[current][c] - 2 * instance['demands'][c]),1538.0,0.010208845138549805,True,6,1,949.0,A,37,589.0,62.06533192834562
P-n16-k8,0.2 * dist_matrix[c][instance['depot']] + (dist_matrix[current][c] - 2 * instance['demands'][c]),503.0,0.0020515918731689453,True,8,1,450.0,P,16,53.0,11.777777777777777
A-n37-k5,0.2 * dist_matrix[c][instance['depot']] + (dist_matrix[current][c] - 2 * instance['demands'][c]),1069.0,0.010016441345214844,True,5,1,669.0,A,37,400.0,59.79073243647235
P-n70-k10,0.2 * dist_matrix[c][instance['depot']] + (dist_matrix[current][c] - 2 * instance['demands'][c]),1206.0,0.03694868087768555,True,10,1,827.0,P,70,379.0,45.82829504232164
E-n76-k8,0.2 * dist_matrix[c][instance['depot']] + (dist_matrix[current][c] - 2 * instance['demands'][c]),1221.0,0.04524564743041992,True,8,1,735.0,E,76,486.0,66.12244897959184
A-n55-k9,0.2 * dist_matrix[c][instance['depot']] + (dist_matrix[current][c] - 2 * instance['demands'][c]),1483.0,0.024189472198486328,True,9,1,1073.0,A,55,410.0,38.210624417520975
A-n54-k7,0.2 * dist_matrix[c][instance['depot']] + (dist_matrix[current][c] - 2 * instance['demands'][c]),1646.0,0.02375006675720215,True,7,1,1167.0,A,54,479.0,41.045415595544135
A-n62-k8,0.2 * dist_matrix[c][instance['depot']] + (dist_matrix[current][c] - 2 * instance['demands'][c]),1898.0,0.03032684326171875,True,8,1,1288.0,A,62,610.0,47.36024844720497
B-n52-k7,0.2 * dist_matrix[c][instance['depot']] + (dist_matrix[current][c] - 2 * instance['demands'][c]),1187.0,0.01979804039001465,True,7,1,747.0,B,52,440.0,58.90227576974565
B-n56-k7,0.2 * dist_matrix[c][instance['depot']] + (dist_matrix[current][c] - 2 * instance['demands'][c]),1209.0,0.02289295196533203,True,7,1,707.0,B,56,502.0,71.004243281471
P-n55-k7,0.2 * dist_matrix[c][instance['depot']] + (dist_matrix[current][c] - 2 * instance['demands'][c]),895.0,0.02439141273498535,True,7,1,568.0,P,55,327.0,57.570422535211264
P-n65-k10,0.2 * dist_matrix[c][instance['depot']] + (dist_matrix[current][c] - 2 * instance['demands'][c]),1217.0,0.033731698989868164,True,10,1,792.0,P,65,425.0,53.661616161616166
B-n63-k10,0.2 * dist_matrix[c][instance['depot']] + (dist_matrix[current][c] - 2 * instance['demands'][c]),2104.0,0.031873464584350586,True,10,1,1496.0,B,63,608.0,40.64171122994652
E-n101-k14,0.2 * dist_matrix[c][instance['depot']] + (dist_matrix[current][c] - 2 * instance['demands'][c]),1781.0,0.07876253128051758,True,14,1,1067.0,E,101,714.0,66.9165885660731
E-n101-k8,0.2 * dist_matrix[c][instance['depot']] + (dist_matrix[current][c] - 2 * instance['demands'][c]),1554.0,0.08289599418640137,True,8,1,815.0,E,101,739.0,90.67484662576688
F-n135-k7,0.2 * dist_matrix[c][instance['depot']] + (dist_matrix[current][c] - 2 * instance['demands'][c]),3348.0,0.15602660179138184,True,7,1,1162.0,F,135,2186.0,188.12392426850258
